fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha
2026-01-10,3129,MADRID AEROPUERTO,MADRID,609,"5,2","0,0","0,0",23:34,"10,5",15:24,"1,7","5,4","959,0",Varias,"954,9",00,62,88,23:43,45,13:43,27,"9,2",04:07
2026-01-11,3129,MADRID AEROPUERTO,MADRID,609,"4,0",Ip,"-2,7",07:35,"10,6",15:07,"1,9","8,0","959,2",Varias,"956,2",15,74,95,Varias,56,14:07,13,"5,0",14:53
2026-01-12,3129,MADRID AEROPUERTO,MADRID,609,"5,0","0,1","0,9",01:26,"9,1",16:20,"1,7","0,4","957,2",00,"949,8",24,89,98,09:37,74,15:51,99,"5,0",Varias
2026-01-13,3129,MADRID AEROPUERTO,MADRID,609,"5,3","1,6","-0,9",05:03,"11,5",15:59,"2,5","0,4","949,8",00,"945,0",14,81,99,07:12,46,14:49,21,"9,2",17:48
2026-01-14,3129,MADRID AEROPUERTO,MADRID,609,"6,5",Ip,"1,5",23:55,"11,5",12:08,"1,9","3,0","952,9",21,"948,0",01,88,98,Varias,70,12:13,21,"5,0",10:55
2026-01-15,3129,MADRID AEROPUERTO,MADRID,609,"4,3","4,6","-0,1",03:04,"8,7",15:29,"2,5","0,0","952,9",00,"948,2",24,92,100,Varias,70,15:11,22,"11,4",17:17
2026-01-16,3129,MADRID AEROPUERTO,MADRID,609,"8,2","10,0","5,2",23:10,"11,1",14:48,"2,5","2,3","948,2",00,"942,8",15,87,99,07:00,56,15:00,21,"10,8",15:00
2026-01-17,3129,MADRID AEROPUERTO,MADRID,609,"3,8","4,8","2,1",08:30,"5,4",02:30,"1,7","0,0","943,0",00,"939,9",15,89,97,01:58,83,17:34,26,"5,8",17:21
2026-01-18,3129,MADRID AEROPUERTO,MADRID,609,"5,4","0,0","0,7",23:38,"10,2",14:41,"1,9","5,8","947,9",Varias,"941,5",00,76,99,07:42,56,16:08,99,"6,7",Varias
2026-01-19,3129,MADRID AEROPUERTO,MADRID,609,"4,9","0,0","-2,2",06:40,"12,0",16:00,"2,2","7,6","949,8",Varias,"947,5",01,73,98,07:00,46,16:03,35,"7,8",17:54
2026-01-20,3129,MADRID AEROPUERTO,MADRID,609,"4,6",Ip,"-2,6",07:10,"11,8",15:12,"0,8","8,0","950,0",Varias,"946,3",15,74,96,07:50,42,15:32,25,"6,1",12:46
2026-01-21,3129,MADRID AEROPUERTO,MADRID,609,"2,9","5,0","-2,0",04:09,"7,8",20:34,"3,1","0,0","947,2",00,"930,3",20,95,98,Varias,77,23:18,20,"12,8",11:10
2026-01-22,3129,MADRID AEROPUERTO,MADRID,609,"7,0","4,7","4,5",20:53,"9,6",12:36,"6,4","3,8","937,8",Varias,"932,0",00,67,97,23:46,55,12:38,23,"16,9",16:00
2026-01-23,3129,MADRID AEROPUERTO,MADRID,609,"5,7","3,1","2,5",05:33,"8,9",13:02,"4,7","3,8","934,4",Varias,"929,0",22,84,99,Varias,60,13:09,99,"16,9",Varias
2026-01-24,3129,MADRID AEROPUERTO,MADRID,609,"4,1","0,8","0,7",07:23,"7,5",14:36,"6,1","3,6","941,9",Varias,"929,6",00,75,90,00:04,54,15:43,23,"15,0",10:08
2026-01-25,3129,MADRID AEROPUERTO,MADRID,609,"7,2","0,0","2,5",02:23,"11,9",16:00,"8,1","1,9","943,5",Varias,"938,2",15,68,92,08:38,42,16:09,25,"20,0",16:24
2026-01-26,3129,MADRID AEROPUERTO,MADRID,609,"8,7","5,8","5,7",02:51,"11,7",20:44,"3,3","0,0","944,8",Varias,"938,4",23,92,99,17:50,56,00:01,21,"11,7",19:43
2026-01-27,3129,MADRID AEROPUERTO,MADRID,609,"7,6","15,0","4,3",Varias,"10,8",00:00,"7,5","0,4","938,8",00,"929,2",14,83,94,03:03,74,20:06,99,"16,9",Varias
2026-01-28,3129,MADRID AEROPUERTO,MADRID,609,"5,0","17,9","0,1",09:30,"9,8",14:15,"5,6","3,3","937,8",Varias,"924,0",10,77,98,10:30,59,16:04,29,"16,1",15:00
2026-01-29,3129,MADRID AEROPUERTO,MADRID,609,"9,4","5,6","5,6",05:30,"13,1",16:34,"3,6","0,7","942,6",Varias,"934,9",05,84,99,06:26,62,17:27,26,"11,7",21:04
2026-01-30,3129,MADRID AEROPUERTO,MADRID,609,"8,6","1,6","5,8",23:39,"11,5",14:29,"5,6","0,8","944,4",Varias,"935,2",18,80,94,02:42,57,22:30,28,"19,7",21:25
2026-01-31,3129,MADRID AEROPUERTO,MADRID,609,"7,9",Ip,"4,2",06:21,"11,6",13:43,"6,9","8,9","949,8",Varias,"938,9",00,58,82,23:59,44,16:18,28,"16,4",02:43
2026-02-01,3129,MADRID AEROPUERTO,MADRID,609,"5,8","15,2","4,2",03:39,"7,5",15:07,"1,7","0,0","949,2",00,"937,7",24,96,99,Varias,81,00:13,23,"6,1",09:49
2026-02-02,3129,MADRID AEROPUERTO,MADRID,609,"7,4","7,3","5,2",23:56,"9,6",04:05,"7,2","0,8","937,7",00,"927,7",10,85,100,Varias,72,14:01,23,"17,5",09:33
2026-02-03,3129,MADRID AEROPUERTO,MADRID,609,"6,6","9,8","4,4",Varias,"8,9",13:47,"4,7","3,2","935,2",Varias,"930,1",24,84,94,06:47,67,15:33,23,"15,3",11:11
2026-02-04,3129,MADRID AEROPUERTO,MADRID,609,"6,8","8,4","2,6",05:50,"11,1",13:09,"5,8","1,1","930,8",Varias,"926,1",05,88,98,07:10,77,13:10,24,"16,4",12:36
2026-02-05,3129,MADRID AEROPUERTO,MADRID,609,"11,0","11,7","7,7",Varias,"14,3",12:42,"7,2","4,4","931,9",Varias,"921,7",09,79,100,08:30,58,12:51,22,"23,3",13:37
2026-02-06,3129,MADRID AEROPUERTO,MADRID,609,"7,1","2,6","5,1",23:58,"9,1",15:48,"4,4","0,4","939,7",Varias,"931,9",00,80,91,11:37,72,17:01,23,"16,1",Varias
2026-02-07,3129,MADRID AEROPUERTO,MADRID,609,"5,2","15,5","3,3",19:15,"7,1",11:41,"4,7","0,0","943,8",Varias,"934,3",24,90,99,Varias,73,11:47,19,"16,4",12:21
2026-02-08,3129,MADRID AEROPUERTO,MADRID,609,"8,3","4,9","5,1",05:30,"11,5",14:37,"7,2","4,6","945,1",Varias,"934,1",00,63,91,23:53,47,16:34,30,"15,0",11:39
2026-02-09,3129,MADRID AEROPUERTO,MADRID,609,"9,0","4,0","5,4",01:45,"12,5",23:55,"4,7","2,1","944,1",01,"941,2",16,87,98,06:14,74,13:57,22,"14,4",12:55
2026-02-10,3129,MADRID AEROPUERTO,MADRID,609,"13,4","5,0","12,2",00:41,"14,7",16:03,"6,1","0,0","945,9",Varias,"942,3",16,91,94,13:11,85,16:13,99,"17,5",Varias
2026-02-11,3129,MADRID AEROPUERTO,MADRID,609,"12,9","3,7","10,9",08:21,"14,9",Varias,"8,1","0,0","946,9",08,"940,1",16,87,97,10:55,51,23:56,23,"20,0",16:03
2026-02-12,3129,MADRID AEROPUERTO,MADRID,609,"11,3","8,2","8,1",07:31,"14,5",13:26,"5,8","5,8","949,0",Varias,"942,2",24,60,91,23:56,47,12:44,27,"15,0",00:05
2026-02-13,3129,MADRID AEROPUERTO,MADRID,609,"9,3","2,5","6,9",23:52,"11,7",14:57,"9,2","1,4","942,2",00,"926,1",09,69,97,04:23,55,17:52,27,"20,0",18:15
